Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
HEATHER OWEN,WAS,2000,PowerF,Roller/Cutter,60.5,4.535209873299354,14.295590659894296
SOPHIE BRUNNER,SAN,2017,F,Roller/Cutter,15.2,4.534814795364698,-24.149243626721834
AMBER HARRIS,CHI,2018,F,Roller/Cutter,2.2,4.49628956721422,3.6758683337448126
NICOLE KUBIK,PHO,2001,G,Secondary Creator/Distributor,21.299999999999997,4.46647711837894,-13.976737431075243
ELENA DELLE DONNE,CHI,2016,SG,Perimeter-Oriented Big/Wing,929.6,4.440070573756223,0.9851471353730616
ELENA DELLE DONNE,WAS,2022,SG,Perimeter-Oriented Big/Wing,695.0,4.3678587234705315,12.23218337490825
LAUREN JACKSON,SEA,2007,PowerF,Perimeter-Oriented Big/Wing,1019.9,4.3559782661366695,9.546688678540294
EMILY ENGSTLER,WAS,2024,F,Secondary Creator/Distributor,464.0,4.308114722532657,2.079085490365012
JENNIFER HAMSON,LAS,2015,C,Roller/Cutter,162.5,4.284187616263689,-6.694537470206193
BREANNA STEWART,SEA,2022,F,Perimeter-Oriented Big/Wing,1050.6,4.1957901341686386,9.28372879701935
VICTORIA MACAULAY,CHI,2019,F,Roller/Cutter,22.0,4.167883180296236,27.167845524479848
AMAYA VALDEMORO,HOU,1999,F,Secondary Creator/Distributor,91.8,4.135587509717843,4.9158635202365515
ANNELI MALEY,CHI,2022,F,Spot-up Shooter,44.4,4.134408340088218,8.70901395259434
LATOYA SANDERS,WAS,2015,PowerF,Roller/Cutter,416.3,4.124295953984298,1.57130990084042
KEITHA DICKERSON,UTA,2001,F,Secondary Creator/Distributor,4.4,4.104663345624829,33.39366372692026
MAYA MOORE,MIN,2012,F,Primary On-Ball Creator,1009.8,4.087876036382761,12.746612716501946
CANDACE PARKER,LAS,2018,PowerF,Perimeter-Oriented Big/Wing,948.6,4.08591334268154,2.5418780017636604
JENNA O'HEA,LAS,2012,F,Spot-up Shooter,144.0,4.0609011822711825,9.284621395813364
DANIELLE MCCULLEY,IND,2000,PowerF,Interior Primary Option,458.2000000000001,4.0099287162498145,8.956039503202822
PENNY MOORE,WAS,1999,F,Secondary Creator/Distributor,18.8,3.9433331321929472,-19.923517992109865
MACTABENE AMACHREE,SEA,2003,F,Roller/Cutter,49.0,3.920072781179573,31.483828851905297
JONQUEL JONES,CON,2017,C,Interior Primary Option,969.0,3.9127836612181723,7.600858599907554
NYARA SABALLY,NYL,2024,C,Roller/Cutter,351.0,3.8894199776373353,0.5666194659120962
ERIKA DE SOUZA,LAS,2002,PowerF,Interior Primary Option,41.8,3.873689736032217,-18.200794067450516
LIZ CAMBAGE,DAL,2018,C,Perimeter-Oriented Big/Wing,944.0,3.869663226640233,2.5686990123109124
HAMCHETOU MAIGA-BA,SAC,2003,F,Roller/Cutter,191.4,3.832840466599684,4.132741066212459
KRISTIN FOLKL,MIN,2000,F,Interior Primary Option,844.8,3.8271531247697728,9.001080203316846
TAYLOR MIKESELL,ATL,2023,G,Spot-up Shooter,29.4,3.771664204921149,-1.6415794364463303
PENNY TAYLOR,PHO,2016,F,Primary On-Ball Creator,642.5,3.7649409718428424,4.876536066731126
ANGEL MCCOUGHTRY,MIN,2022,SG,Interior Primary Option,19.8,3.7124898006152383,-53.37542217645523
A'JA WILSON,LVA,2023,C,Perimeter-Oriented Big/Wing,1228.0,3.655122183047217,10.736685573749362
ELENA DELLE DONNE,CHI,2014,SG,Perimeter-Oriented Big/Wing,408.0,3.651134611785704,7.0499724726927
CANDACE PARKER,CHI,2022,PowerF,Perimeter-Oriented Big/Wing,902.4,3.6464942164570893,8.256104853850509
LAUREN JACKSON,SEA,2010,PowerF,Perimeter-Oriented Big/Wing,992.0,3.6096397102523676,12.032902106223963
KIAH STOKES,LVA,2023,C,Roller/Cutter,792.0,3.597196474493235,10.080745401156172
QUANITRA HOLLINGSWORTH,WAS,2013,C,Roller/Cutter,42.0,3.5935215955459467,-9.599053571979493
BETHANY DONAPHIN,NYL,2003,PowerF,Secondary Creator/Distributor,1.7,3.5932728359336705,29.499760068452233
ALANNA SMITH,MIN,2024,F,Secondary Creator/Distributor,1033.5,3.578194331085948,4.5942225844738545
STELLA JOHNSON,WAS,2020,G,Secondary Creator/Distributor,99.9,3.5438919488450056,-2.7824767604265865
TAMIKA CATCHINGS,IND,2012,F,Perimeter-Oriented Big/Wing,1037.0,3.4809563380648347,3.0783417733051532
ANGIE BRAZIEL,CHA,1999,F,Roller/Cutter,39.9,3.478368825601503,-12.551025663110222
JASMINE HASSELL,IND,2014,F,Roller/Cutter,20.6,3.435066855959815,-20.8835289349836
EMMA MEESSEMAN,CHI,2022,F,Interior Primary Option,1029.6,3.3925918093964946,9.13207805281655
ADIA BARNES,SEA,2004,F,Secondary Creator/Distributor,404.6,3.3678534613127153,5.390659927519765
PENNY TAYLOR,PHO,2011,F,Primary On-Ball Creator,864.2,3.356366025334587,6.35842884642274
BREANNA STEWART,NYL,2024,F,Perimeter-Oriented Big/Wing,1242.6,3.354152260234339,1.7116981019405473
EMMA MEESSEMAN,WAS,2019,F,Perimeter-Oriented Big/Wing,542.8000000000001,3.333442951613907,9.40633477493799
TRACY REID,PHO,2003,F,Secondary Creator/Distributor,12.2,3.3065243361592715,-40.9367860262969
ELENA DELLE DONNE,WAS,2023,SG,Perimeter-Oriented Big/Wing,632.5,3.2536105502987827,8.965191304488329
AERIAL POWERS,WAS,2018,G,Secondary Creator/Distributor,345.6,3.2492856610822383,6.74420841825332
SHANELE STIRES,MIN,2002,F,Spot-up Shooter,19.8,3.2474701522814415,31.387495619347696
STACEY LOVELACE,SEA,2001,C,Spot-up Shooter,211.2,3.2333906172940323,17.730028053021236
SHERYL SWOOPES,HOU,2005,SG,Perimeter-Oriented Big/Wing,1224.3,3.2243751511960212,2.514679446189909
ALYSHA CLARK,SEA,2020,F,Spot-up Shooter,633.6,3.194650926672841,17.64652020269397
KEITHA DICKERSON,MIN,2000,F,Roller/Cutter,790.4,3.1729645015801955,-4.652014335613351
CANDACE PARKER,LAS,2017,PowerF,Perimeter-Oriented Big/Wing,1013.1,3.1693931803082056,4.812658003965655
LINDSAY WHALEN,CON,2008,G,Primary On-Ball Creator,908.3,3.1518100616824745,4.296689720041686
KRISTI CIRONE,CON,2009,G,Secondary Creator/Distributor,22.8,3.0921197471351594,30.557725644521458
SEMEKA RANDALL,SAN,2004,G,Roller/Cutter,466.9,3.0773578899565677,2.5281027151895117
CATHY JOENS,CHI,2007,SG,Spot-up Shooter,271.7,3.0750872340324236,-4.245676544627818
MWADI MABIKA,LAS,2000,G,Primary On-Ball Creator,940.8,3.0688059618474868,-16.311143006743723
JONQUEL JONES,CON,2022,C,Interior Primary Option,871.1999999999999,3.040006059837612,11.900886379450611
MAYA MOORE,MIN,2013,F,Primary On-Ball Creator,1067.6,3.0316404927120457,10.42101335871919
CANDACE PARKER,LAS,2020,PowerF,Perimeter-Oriented Big/Wing,660.0,3.0177713229343146,6.6820335321660895
CHANDI JONES,MIN,2006,G,Spot-up Shooter,37.8,2.9718755967925867,-34.97656829213554
PENNY TAYLOR,PHO,2010,F,Primary On-Ball Creator,960.0,2.966764002752024,5.677432960668085
MARIA KLIUNDIKOVA,LAS,2019,F,Interior Primary Option,180.0,2.9318823592690837,0.9357865305161033
WENDY PALMER,CON,2004,F,Interior Primary Option,788.6999999999999,2.904178773618735,11.810138576187882
ALISON BALES,ATL,2010,C,Roller/Cutter,530.4,2.8673665836390896,8.784316017051937
CHELSEA GRAY,LVA,2023,G,Primary On-Ball Creator,1288.0,2.861526253608136,7.232236290953716
LACHARLOTTE SMITH,ORL,2000,G,Secondary Creator/Distributor,11.4,2.860025264679552,41.19393037613088
BREANNA STEWART,SEA,2018,F,Perimeter-Oriented Big/Wing,1074.4,2.8278996395954037,4.808304207211091
MARIE FERDINAND-HARRIS,SAN,2003,G,Primary On-Ball Creator,1115.1999999999998,2.8253650564936654,-34.86496346859708
KAMIAH SMALLS,IND,2020,G,Spot-up Shooter,99.4,2.792983918507522,-9.303419101749455
COQUESE WASHINGTON,NYL,1999,G,Secondary Creator/Distributor,74.1,2.7927239135602937,14.501671130563198
BRITTANY BREWER,ATL,2020,F,Roller/Cutter,32.5,2.7559449390460022,-14.759189938234462
ILIANA RUPERT,LVA,2022,C,Spot-up Shooter,222.7,2.7288477074323207,-17.363800834749895
JACKIE YOUNG,LVA,2023,G,Primary On-Ball Creator,1260.0,2.6972459184806876,15.330953729741644
JANEL MCCARVILLE,MIN,2013,PowerF,Secondary Creator/Distributor,700.8,2.6923412165688934,17.73893853477762
A'JA WILSON,LVA,2022,C,Perimeter-Oriented Big/Wing,1080.0,2.683800256060522,11.31346684613098
TEANA MILLER,CHA,2003,C,Roller/Cutter,341.0,2.6719948126209347,6.764891527482568
CHUCKY JEFFERY,NYL,2013,G,Primary On-Ball Creator,5.8,2.650269349498344,-75.87150358165559
JAYLYN SHERROD,NYL,2024,G,Secondary Creator/Distributor,37.0,2.6318350400467874,11.838476233283334
CAYLA GEORGE,PHO,2015,PowerF,Secondary Creator/Distributor,431.7999999999999,2.605130267498887,-0.9295715067431316
DONNA HARRINGTON,IND,2000,F,Roller/Cutter,67.2,2.571574547622052,1.3218614383348237
TAMIKA CATCHINGS,IND,2005,F,Primary On-Ball Creator,1173.0,2.5247336823011617,5.774342662794949
SYLVIA FOWLES,MIN,2020,C,Interior Primary Option,168.70000000000002,2.5118476735025537,9.847527213712368
SUE BIRD,SEA,2018,G,Spot-up Shooter,824.6,2.5065579337873,11.15916877580913
SLOBODANKA TUVIC,PHO,2001,C,Roller/Cutter,324.0,2.4982250653898683,7.134663293126639
NATASHA HOWARD,SEA,2018,F,Interior Primary Option,870.4000000000001,2.4626774790723687,9.626019051488443
COURTNEY VANDERSLOOT,CHI,2022,G,Secondary Creator/Distributor,848.0,2.447136365547317,9.558136733149595
DANIELLE ADAMS,SAN,2012,PowerF,Perimeter-Oriented Big/Wing,686.8,2.4442916408142206,5.283115989448018
COURTNEY VANDERSLOOT,CHI,2019,G,Primary On-Ball Creator,990.0,2.4423941131660722,5.957173069010467
NAPHEESA COLLIER,MIN,2024,F,Perimeter-Oriented Big/Wing,1179.8000000000002,2.3835816735777553,10.006670850150682
TARI PHILLIPS,NYL,2004,PowerF,Interior Primary Option,310.7,2.374480282879162,5.6543178823135625
CAMERON BRINK,LAS,2024,F,Secondary Creator/Distributor,330.0,2.373877743235004,-5.354534328248809
SEIMONE AUGUSTUS,MIN,2007,SG,Perimeter-Oriented Big/Wing,1094.8000000000002,2.359826254897193,-2.2352522763095557
LINDSAY ALLEN,MIN,2022,G,Secondary Creator/Distributor,133.20000000000002,2.352303880208949,-3.665313058736815
DEWANNA BONNER,PHO,2018,SG,Primary On-Ball Creator,1118.6,2.316243842318582,1.7216587359289035
WILLNETT CROCKETT,PHO,2008,F,Roller/Cutter,41.5,2.294733175182303,14.68908937629378
NNEKA OGWUMIKE,LAS,2017,F,Perimeter-Oriented Big/Wing,1054.0,2.291243743123862,5.977143773656834
TAMIKA CATCHINGS,IND,2010,F,Primary On-Ball Creator,1067.6,2.2653528337919844,5.7688881049428264
SATOU SABALLY,DAL,2023,F,Perimeter-Oriented Big/Wing,1257.8,2.256659663441856,6.163725434015193
JORDAN ADAMS,MIN,2003,C,Spot-up Shooter,97.0,2.24465776797524,-4.85571451639943
SHERILL BAKER,IND,2008,G,Interior Primary Option,110.5,2.2422561833096015,3.713665516198988
KELLY SANTOS,DET,2001,F,Roller/Cutter,152.6,2.2106844903446436,-19.28654321927415
DAMIRIS DANTAS,MIN,2019,PowerF,Spot-up Shooter,665.6,2.209358114642253,4.967713824231809
AMY HERRIG,UTA,2002,C,Roller/Cutter,268.8,2.2079090893596236,0.6480759934306071
STEFANIE DOLSON,CHI,2019,C,Secondary Creator/Distributor,850.0,2.1998323153503745,6.139926242182847
BRIONNA JONES,CON,2023,F,Interior Primary Option,412.1,2.178996707083156,5.9221994697317
ERIKA DE SOUZA,ATL,2008,PowerF,Interior Primary Option,277.20000000000005,2.173046960343591,-12.930541816261346
CANDACE PARKER,CHI,2021,PowerF,Perimeter-Oriented Big/Wing,616.4,2.153711040903159,2.7023097559990585
EPIPHANNY PRINCE,LVA,2019,G,Spot-up Shooter,28.200000000000003,2.1499494567365423,13.310479077448885
JENNIFER HAMSON,IND,2017,C,Roller/Cutter,86.4,2.1318793910260334,7.4378789255727025
COURTNEY PARIS,SEA,2019,C,Roller/Cutter,189.0,2.0934875493596197,-14.174259567812223
ALANA BEARD,LAS,2017,SG,Secondary Creator/Distributor,1050.6,2.0732068385325344,10.172021658187115
TAMIKA CATCHINGS,IND,2006,F,Primary On-Ball Creator,1068.8,2.0621946207823507,8.390048709268642
COURTNEY VANDERSLOOT,CHI,2018,G,Primary On-Ball Creator,954.0,2.0609317415446986,-5.991338285237138
KARA LAWSON,CON,2012,G,Primary On-Ball Creator,1067.6,2.0279143915952282,4.1374135451483145
TIANNA HAWKINS,WAS,2019,F,Interior Primary Option,477.4,2.0258025792651164,-5.3039142150627
REBECCA LOBO,NYL,1998,C,Perimeter-Oriented Big/Wing,873.0,1.9942547118833054,11.9574865455223
TULLY BEVILAQUA,POR,2002,G,Spot-up Shooter,418.5,1.9941643300576728,1.1183096030263906
MARGO DYDEK,CON,2005,C,Roller/Cutter,672.6999999999999,1.9386074252727106,10.581893433395997
BREANNA STEWART,SEA,2020,F,Perimeter-Oriented Big/Wing,608.0,1.9365779514331232,5.592450031748943
BRANDY REED,PHO,2002,F,Perimeter-Oriented Big/Wing,85.5,1.935215560836462,39.207363613295335
TAMIKA CATCHINGS,IND,2011,F,Perimeter-Oriented Big/Wing,1039.5,1.9156331861516667,6.37946420308732
NICKY ANOSIKE,LAS,2012,PowerF,Roller/Cutter,57.0,1.91321178334917,-7.402874139344395
LYNN PRIDE,MIN,2002,SG,Secondary Creator/Distributor,582.8000000000001,1.9044993829233097,12.740277100061965
CINTIA DOS SANTOS,ORL,2001,C,Interior Primary Option,66.0,1.8968350890707,0.16542017045088464
REBEKAH GARDNER,CHI,2023,G,Secondary Creator/Distributor,59.400000000000006,1.8928032852245735,15.611100876644105
PENNY TAYLOR,PHO,2007,F,Perimeter-Oriented Big/Wing,1009.8,1.883970640942339,7.674930246866554
DEARICA HAMBY,LVA,2018,F,Interior Primary Option,475.2,1.876525243339291,3.917222457608748
KIAH STOKES,LVA,2022,C,Roller/Cutter,474.3,1.8752238220556103,3.5572308702965927
ELENA DELLE DONNE,CHI,2013,SG,Perimeter-Oriented Big/Wing,942.0,1.8236364614675864,14.887554250333963
TAMIKA CATCHINGS,IND,2008,F,Primary On-Ball Creator,692.5,1.8057984181026345,4.71116801202775
NNEKA OGWUMIKE,LAS,2019,F,Perimeter-Oriented Big/Wing,892.8,1.8013342343037873,6.224370467063832
GEORGIA SCHWEITZER,MIN,2002,SG,Spot-up Shooter,513.0,1.7893383568608459,14.338186260679542
OLIVIA ÉPOUPA,MIN,2024,G,Roller/Cutter,113.9,1.7485047319939193,5.235170856916806
PLENETTE PIERSON,DET,2008,F,Interior Primary Option,649.6,1.739170239182668,11.76693053282761
DIANA TAURASI,PHO,2009,G,Primary On-Ball Creator,967.2,1.7378862547751275,1.882622746937739
LA'KESHIA FRETT,LAS,2000,F,Roller/Cutter,187.5,1.7314317229023684,0.7353200721619126
STACEY THOMAS,POR,2001,F,Roller/Cutter,409.6,1.7186896820488577,8.665119432536462
PAT LUCKEY,PHO,2001,F,Secondary Creator/Distributor,8.3,1.712369114800934,-42.057390393592286
CHARMIN SMITH,PHO,2003,G,Spot-up Shooter,17.6,1.6996982799309608,20.121277972089956
TAMIKA CATCHINGS,IND,2009,F,Primary On-Ball Creator,1074.4,1.6612870941995868,2.876321560494259
DIANA TAURASI,PHO,2018,G,Primary On-Ball Creator,990.0,1.653988797992627,9.046863542894927
JANEL MCCARVILLE,MIN,2016,PowerF,Roller/Cutter,415.8,1.6443202027547148,15.006034508838535
LAUREN JACKSON,SEA,2005,PowerF,Perimeter-Oriented Big/Wing,1176.4,1.6357545153197943,2.329799871604225
LAURIE KOEHN,WAS,2005,G,Spot-up Shooter,228.0,1.6031640289314932,-1.3720670144289884
LANAY MONTGOMERY,SEA,2017,C,Roller/Cutter,28.699999999999996,1.6013547428231574,-9.354702335228781
MAYA MOORE,MIN,2011,F,Primary On-Ball Creator,952.0,1.596065231180924,10.90258139885133
SEIMONE AUGUSTUS,MIN,2017,SG,Secondary Creator/Distributor,886.4,1.58656456518981,11.054675724097706
KRISTI TOLIVER,WAS,2019,G,Primary On-Ball Creator,678.5,1.5762599610781938,8.6558390391428
HAJDANA RADUNOVIC,NYL,2001,C,Roller/Cutter,8.8,1.5694413151353048,23.997103244590992
ERIN PERPEROGLOU,SAN,2007,F,Interior Primary Option,498.6,1.5557325145557552,3.4571168892457376
CANDACE PARKER,LAS,2008,PowerF,Perimeter-Oriented Big/Wing,1108.8,1.5556744286128839,4.078546767606624
NICOLE LEVANDUSKY,LAS,2001,G,Spot-up Shooter,65.0,1.538566167407387,2.494621217818611
LINDSAY WHALEN,MIN,2011,G,Perimeter-Oriented Big/Wing,955.4,1.5263569687637086,3.6903584868880857
ALANNA SMITH,CHI,2023,F,Secondary Creator/Distributor,1007.0,1.5236397014886962,0.7537178493287114
DIANA TAURASI,PHO,2008,G,Primary On-Ball Creator,1081.2,1.518302093494165,1.1345788534745322
DIANA TAURASI,PHO,2020,G,Primary On-Ball Creator,533.9,1.5168838915344787,-0.044268653290938764
MERLAKIA JONES,CLE,1999,G,Perimeter-Oriented Big/Wing,812.1999999999999,1.5039297627728172,7.058651549382103
ERIN PERPEROGLOU,SAC,2005,F,Roller/Cutter,207.0,1.5019722901621901,-5.279828128331139
DELISHA MILTON-JONES,LAS,2001,F,Perimeter-Oriented Big/Wing,937.6,1.4913257691718371,8.303509307227209
COURTNEY VANDERSLOOT,NYL,2023,G,Secondary Creator/Distributor,1185.6,1.4866894301278433,9.489006451763494
NNEKA OGWUMIKE,LAS,2013,F,Interior Primary Option,877.2,1.4790866703243488,6.092397320534497
ERIN PHILLIPS,CON,2008,G,Primary On-Ball Creator,85.6,1.4786687127989844,5.653896353991907
CHELSEA GRAY,LVA,2022,G,Primary On-Ball Creator,1039.5,1.4662914645323937,9.859898750921207
CANDACE PARKER,LAS,2016,PowerF,Perimeter-Oriented Big/Wing,1047.2,1.459834585065385,3.0200775501777315
ALANA BEARD,LAS,2018,SG,Roller/Cutter,765.0,1.4578333036898614,1.441107025426573
KELLY SCHUMACHER,IND,2003,C,Interior Primary Option,479.4,1.4382713294877862,-0.1673059541750812
COURTNEY VANDERSLOOT,CHI,2017,G,Secondary Creator/Distributor,818.1,1.4373588119310015,-0.9869516959630852
SABRINA IONESCU,NYL,2023,G,Primary On-Ball Creator,1134.0,1.4360967867753545,4.607080258740297
NATASHA LACY,NYL,2014,G,Secondary Creator/Distributor,82.5,1.4279915759443509,3.374328175912007
VALERIE STILL,WAS,1999,F,Roller/Cutter,280.59999999999997,1.4206318896758412,8.628150401888583
BREANNA STEWART,SEA,2017,F,Perimeter-Oriented Big/Wing,1085.7,1.4205052032593113,3.696793134985706
TARI PHILLIPS,ORL,1999,PowerF,Interior Primary Option,336.0,1.4203654193264952,6.358049299526708
JONQUEL JONES,NYL,2023,C,Interior Primary Option,1000.0,1.4199862757895172,12.692639916211197
HAMCHETOU MAIGA-BA,SAC,2002,F,Roller/Cutter,195.5,1.4087344662373205,1.853921374467464
EUGENIA RYCRAW,LAS,1998,C,Roller/Cutter,228.0,1.399051463720852,6.246878730025641
LINDSAY WHALEN,CON,2007,G,Primary On-Ball Creator,1016.6,1.3983064887859986,2.2079850586349465
JESSICA MOORE,LAS,2005,PowerF,Roller/Cutter,153.29999999999998,1.3822526507643018,6.820005563926299
TERESA WEATHERSPOON,LAS,2004,G,Secondary Creator/Distributor,292.4,1.3742202301965012,6.750990034137782
BRIONNA JONES,CON,2020,F,Interior Primary Option,548.1,1.3720264282468795,8.864420782506018
STACY FRESE,UTA,2000,G,Spot-up Shooter,222.6,1.3713813100614984,-2.34160136145929
COCO MILLER,WAS,2002,G,Secondary Creator/Distributor,896.0,1.36981924715007,1.3167379702718045
LEONIE FIEBICH,NYL,2024,F,Spot-up Shooter,836.0,1.3665024394008862,9.780861821177304
MICHELLE CAMPBELL,WAS,2000,C,Secondary Creator/Distributor,22.0,1.3559983963698135,-12.294670069744868
ALANA BEARD,LAS,2015,SG,Secondary Creator/Distributor,365.4,1.3533000638226294,1.8188318313944758
SYLVIA FOWLES,MIN,2021,C,Interior Primary Option,933.1,1.3280021523378518,3.936983065684304
JESSICA ADAIR,MIN,2010,C,Roller/Cutter,13.6,1.3134876759255887,73.02320568321367
SOPHIA YOUNG-MALCOLM,SAN,2012,F,Interior Primary Option,1049.4,1.296561098074142,6.804426564210928
KRISTEN RASMUSSEN,CHA,2005,F,Roller/Cutter,553.5,1.2932919763182973,3.3518689781513604
LATASHA BYEARS,LAS,2001,SG,Interior Primary Option,739.2,1.2780923006674731,2.164436376299317
CRYSTAL BRADFORD,ATL,2021,F,Primary On-Ball Creator,439.2000000000001,1.2739560971913313,-3.0972695938051107
SUE BIRD,SEA,2020,G,Spot-up Shooter,257.4,1.273598313671485,18.3851570986671
BELLA ALARIE,DAL,2020,PowerF,Roller/Cutter,308.0,1.2647948815177328,-2.576933578220077
SEQUOIA HOLMES,LVA,2018,G,Roller/Cutter,19.799999999999997,1.2559251781092207,-17.139286205547993
LAUREN JACKSON,SEA,2009,PowerF,Perimeter-Oriented Big/Wing,842.4,1.2491259979305809,6.518323657991212
SYLVIA FOWLES,MIN,2017,C,Interior Primary Option,1047.2,1.2456245032008286,9.451487886037715
SLOBODANKA TUVIC,PHO,2004,C,Roller/Cutter,693.0,1.2266381530122894,6.009150138865484
COURTNEY VANDERSLOOT,CHI,2021,G,Secondary Creator/Distributor,976.0,1.2238740878572894,3.0073375015544013
BRIONNA JONES,CON,2022,F,Interior Primary Option,903.6,1.2214757458264645,7.224041210046597
BRIA HARTLEY,CON,2022,G,Secondary Creator/Distributor,123.5,1.209529194812239,-6.4635278531481655
KAMILA VODICHKOVA,SEA,2003,PowerF,Interior Primary Option,711.1999999999999,1.2087116296378855,12.168421225459953
ANGEL MCCOUGHTRY,ATL,2009,SG,Perimeter-Oriented Big/Wing,734.4000000000001,1.2014039188008256,4.069278526676423
ALANA BEARD,LAS,2019,SG,Secondary Creator/Distributor,235.2,1.1826534802624056,2.817296799049405
SYLVIA FOWLES,MIN,2016,C,Interior Primary Option,969.0,1.1807989245836548,1.90303331212876
ASTOU NDOUR-FALL,DAL,2020,PowerF,Secondary Creator/Distributor,150.79999999999998,1.1762999173021536,-26.90725652608711
GILLIAN GORING,WAS,2007,C,Roller/Cutter,155.4,1.1748626857662257,5.680371216149409
MEGAN GUSTAFSON,LVA,2024,C,Spot-up Shooter,406.6,1.1719724069497552,4.407165917894379
BRIDGET CARLETON,MIN,2024,F,Spot-up Shooter,1166.1,1.1711748791460037,3.7847161995236167
SONJA MALLORY,PHO,2003,C,Roller/Cutter,42.599999999999994,1.1696149636938609,24.427944560181746
MAYA MOORE,MIN,2017,F,Primary On-Ball Creator,1064.2,1.1664583978174512,13.903953060099134
ALYSSA THOMAS,CON,2020,F,Interior Primary Option,688.8,1.1657369335081538,5.146959847817896
STEPHANIE WHITE,IND,2004,SG,Spot-up Shooter,448.7999999999999,1.152146079369942,-2.1548647466674615
ANGELA AYCOCK,PHO,1999,G,Spot-up Shooter,28.8,1.142190853834179,7.772138601003504
KAYTE CHRISTENSEN,PHO,2004,F,Roller/Cutter,406.4,1.1412841485320575,1.4375634514101359
ASHLEY ROBINSON,SEA,2007,C,Roller/Cutter,409.2,1.1348675425143693,5.4408510432193715
TAMIKA CATCHINGS,IND,2015,F,Perimeter-Oriented Big/Wing,798.0,1.1235780255181154,9.346101344541353
NAPHEESA COLLIER,MIN,2020,F,Perimeter-Oriented Big/Wing,752.4000000000001,1.1235505457568395,6.462980173435964
NATASHA HOWARD,MIN,2016,F,Interior Primary Option,496.4,1.120758121932638,4.580518080781761
ASHLEY ROBINSON,SEA,2009,C,Roller/Cutter,166.4,1.115653239219073,-10.33813065867534
CHEYENNE PARKER-TYUS,CHI,2020,F,Interior Primary Option,498.0,1.1114166236978336,5.233783938207779
NICKY ANOSIKE,MIN,2009,PowerF,Interior Primary Option,897.0,1.1099020834801738,2.902232509662337
BREANNA STEWART,SEA,2021,F,Perimeter-Oriented Big/Wing,932.4,1.1071397562331704,8.371962367704121
TICHA PENICHEIRO,LAS,2010,G,Secondary Creator/Distributor,844.8,1.1003168920816593,1.685975525595431
TAMMY SUTTON-BROWN,IND,2011,C,Roller/Cutter,646.0,1.0975624643624387,1.142866718822079
ANNA CRUZ,MIN,2016,G,Secondary Creator/Distributor,60.0,1.0865816075484862,-7.8082372816417145
SHEY PEDDY,WAS,2019,G,Secondary Creator/Distributor,70.5,1.0856745512653165,10.895402169520429
PENNY TAYLOR,PHO,2006,F,Perimeter-Oriented Big/Wing,509.2,1.0714573705928936,1.6161571105189485
EZI MAGBEGOR,SEA,2021,PowerF,Interior Primary Option,456.0,1.0551405576814317,0.24105643860595016
CARLA MCGHEE,ORL,2000,F,Roller/Cutter,390.6,1.0541173018089305,7.093866775585146
TAMIKA CATCHINGS,IND,2013,F,Perimeter-Oriented Big/Wing,942.0,1.0361134230927833,9.98184426172957
ALYSSA THOMAS,CON,2023,F,Interior Primary Option,1444.0,1.0326356538109185,6.499682052588193
CANDACE PARKER,LAS,2013,PowerF,Perimeter-Oriented Big/Wing,889.6999999999999,1.0298641172693663,3.9685177049240163
ADUT BULGAK,CHI,2017,C,Roller/Cutter,61.5,1.0175735631045595,-3.777129362582316
ASHLEY ROBINSON,SEA,2008,C,Roller/Cutter,330.0,0.9751547633837938,-13.905998688022848
LINDSAY WHALEN,MIN,2013,G,Perimeter-Oriented Big/Wing,1006.4,0.9681575836599579,-0.49142903150103334
KELLY SCHUMACHER,DET,2009,C,Secondary Creator/Distributor,9.9,0.9466345795857087,-23.136137340289874
EMMA MEESSEMAN,WAS,2016,F,Perimeter-Oriented Big/Wing,996.2,0.945375241558448,3.3391186954924024
MAYA MOORE,MIN,2016,F,Primary On-Ball Creator,1009.8,0.9284492009102328,11.812264443359084
KARA BRAXTON,NYL,2011,PowerF,Interior Primary Option,520.8000000000001,0.925770336715801,5.299822042439971
DEWANNA BONNER,PHO,2016,SG,Primary On-Ball Creator,1064.2,0.905991437166726,0.9919794653053469
CHUCKY JEFFERY,NYL,2014,G,Roller/Cutter,72.0,0.8993535313741017,-11.869379822144081
CHRISTI THOMAS,CHI,2010,PowerF,Roller/Cutter,126.0,0.8790037967845459,-16.49418407600268
PENNY TAYLOR,PHO,2014,F,Primary On-Ball Creator,778.8000000000001,0.8760936312264932,9.088538936077727
KATIE DOUGLAS,IND,2010,SG,Primary On-Ball Creator,1013.2,0.8705233954812679,10.270890649994428
CAPPIE PONDEXTER,NYL,2010,G,Primary On-Ball Creator,1166.1999999999998,0.8573889063497537,7.655495094870798
LINDSAY WHALEN,MIN,2014,G,Perimeter-Oriented Big/Wing,1040.4,0.8501716804637591,6.048088027866429
SATOU SABALLY,DAL,2024,F,Primary On-Ball Creator,513.0,0.8403461275273292,2.384519304577843
COURTNEY VANDERSLOOT,CHI,2015,G,Primary On-Ball Creator,1013.2,0.8336903242049583,6.678390672586319
MAYA MOORE,MIN,2014,F,Primary On-Ball Creator,1179.8000000000002,0.8315796649877067,5.80063254657788
DEWANNA BONNER,CON,2022,SG,Primary On-Ball Creator,990.0,0.830956859819669,4.055848487900351
